ID,Name,Price,Artist,Image URL,Gallery Name,Href,Scrape Date,Ingested
47aa71fb22636a32a6c05f329573abe3,"Stampede, 2023","US$10,000",Rebecca George,https://d7hftxdivxxvm.cloudfront.net/?height=577&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F3cNafKeky_2IxeOPbPFZqQ%2Flarger.jpg&width=445,The Art House Gallery,https://www.artsy.net/artwork/rebecca-george-stampede-1,2023-09-07 19:31:27,False
98d4aeb4d5eb7a9cc021a454bfe5add1,"小敬礼阿公饼干 A Little Salute to Grandpa Biscuit, 2023","Under US$1,000",Lee Kow Fong,https://d7hftxdivxxvm.cloudfront.net/?height=339&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FtNZAoIkyxBnjkfuNmD3jSA%2Flarger.jpg&width=445,Nonage Gallery,https://www.artsy.net/artwork/lee-kow-fong-xiao-jing-li-a-gong-bing-gan-a-little-salute-to-grandpa-biscuit,2023-09-07 19:31:27,False
40e3e5533fc22996c68f9e22051cec42,"Tranquil Homestead, 2023",€900,Gabrielė Aleksė,https://d7hftxdivxxvm.cloudfront.net/?height=593&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F_bc6NyvB_FZGhHp5mSoCSA%2Flarger.jpg&width=445,Meno parkas,https://www.artsy.net/artwork/gabriele-alekse-tranquil-homestead,2023-09-07 19:31:27,False
695c8f7e22acef1222b152fd2e4809b3,"Pablo Picasso Madoura Ceramic Pitcher 'Pichet bleu et brun' (unique), 1953","US$100,000",Pablo Picasso,https://d7hftxdivxxvm.cloudfront.net/?height=489&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FKg_IrHkHA7U10pAcLTsmGw%2Flarger.jpg&width=445,Hirth Fine Art,https://www.artsy.net/artwork/pablo-picasso-pablo-picasso-madoura-ceramic-pitcher-pichet-bleu-et-brun-unique,2023-09-07 19:31:53,False
a9f13375f69109c9ad02274612d06fab,"The Traps, 2019",US$775,Mike Childs,https://d7hftxdivxxvm.cloudfront.net/?height=317&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FCYDKFN6YC6c3eGYIpm4ybg%2Flarger.jpg&width=445,SHIM Art Network,https://www.artsy.net/artwork/mike-childs-the-traps,2023-09-07 19:31:53,False
7ff44240cec1890f78fed9eceba0132b,"Siyu 巳隅 , 2019","US$28,000",Ren Zhe 任哲,https://d7hftxdivxxvm.cloudfront.net/?height=664&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FRcL5ImyVgxEFMUYWCe-Pwg%2Flarger.jpg&width=445,Linda Gallery,https://www.artsy.net/artwork/ren-zhe-ren-zhe-siyu-si-yu-1,2023-09-07 19:31:53,False
9f2a1faf5c77f381fcb704d3caf7e59a,"Seen Ojas, 2013","US$155,000–US$186,000",RETNA,https://d7hftxdivxxvm.cloudfront.net/?height=626&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FxO1M6uad88YgaSCAGwp70g%2Flarger.jpg&width=445,House2Six,https://www.artsy.net/artwork/retna-seen-ojas-1,2023-09-07 19:31:53,False
a70320b486476231fc6c2b34054d9cfa,"If IX, 2023",US$300,Clara Fialho,https://d7hftxdivxxvm.cloudfront.net/?height=593&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Fbn3fDc9QlftDuHYakScgHg%2Flarger.jpg&width=445,The Contemporary Art Modern Project,https://www.artsy.net/artwork/clara-fialho-if-ix,2023-09-07 19:31:53,False
eea055600bbfa23c8aba4421e02c1825,"闪耀小敬礼 A Little Salute Sparkles, 2023","Under US$1,000",Lee Kow Fong,https://d7hftxdivxxvm.cloudfront.net/?height=626&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FV5bwmWnE27LjVDiEgUCRng%2Flarger.jpg&width=445,Nonage Gallery,https://www.artsy.net/artwork/lee-kow-fong-shan-yao-xiao-jing-li-a-little-salute-sparkles,2023-09-07 19:31:53,False
1742e1e569f42b97adb393e77d87e1f4,"The Craftsman Melody, 20th Century","US$11,895",T.M. Nicholas,https://d7hftxdivxxvm.cloudfront.net/?height=445&quality=80&resize_to=fill&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F2dO8gARe3cSK7g1zjma9Hw%2Flarger.jpg&width=445,Original Art Broker,https://www.artsy.net/artwork/tm-nicholas-the-craftsman-melody,2023-09-07 19:31:53,False
5069e6e765a16a329206dcb8dc9e1594,"MP367, 2023","US$1,500",Yasuo Kiyonaga,https://d7hftxdivxxvm.cloudfront.net/?height=626&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FjRHBh2qWwc-B6kXxmHZ3JA%2Flarger.jpg&width=445,Gallery Japanesque,https://www.artsy.net/artwork/yasuo-kiyonaga-mp367,2023-09-07 19:31:53,False
7b1ba6c86a5006ccd6e2c1951451c0c5,"Underground, 2023","€13,900",Onemizer,https://d7hftxdivxxvm.cloudfront.net/?height=585&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FHA6YTH7N9od742-x5plWAw%2Flarger.jpg&width=445,Signature Fine Art,https://www.artsy.net/artwork/onemizer-underground-5,2023-09-07 19:31:54,False
3f6618133b5d4d52ca3c822bd4e05b7f,"Morning Glory, 2022","US$4,200",Carol Carpenter,https://d7hftxdivxxvm.cloudfront.net/?height=454&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Fm0Gmbe0IIm9izqLJU4fK9Q%2Flarger.jpg&width=445,Recreational Enterprises & Perseus Gallery,https://www.artsy.net/artwork/carol-carpenter-morning-glory,2023-09-07 19:31:54,False
b389633994a97da35bb6f39e64babe97,"High Flight, 2023","US$13,500",Hunt Slonem,https://d7hftxdivxxvm.cloudfront.net/?height=517&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FNzo_MsLqXoTRbK9F0i7LsQ%2Flarger.jpg&width=445,DTR Modern Galleries,https://www.artsy.net/artwork/hunt-slonem-high-flight,2023-09-07 19:31:54,False
775b4f457a6462236e071cae4b2c233b,"Matt's Sink, 2021","US$2,500",Emilio Villalba,https://d7hftxdivxxvm.cloudfront.net/?height=347&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FjEWqvz45_bsDZAzVEyx2Fw%2Flarger.jpg&width=445,Hashimoto Contemporary,https://www.artsy.net/artwork/emilio-villalba-matts-sink,2023-09-07 19:31:54,False
c2eca8c29a48b2b2a4a13e2c6566a689,"MP053, 2023",US$600,Yasuo Kiyonaga,https://d7hftxdivxxvm.cloudfront.net/?height=315&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FY-YAEEUshTohu13o2ZJqTA%2Flarger.jpg&width=445,Gallery Japanesque,https://www.artsy.net/artwork/yasuo-kiyonaga-mp053,2023-09-07 19:31:54,False
05c23fa4031abd0a764971d3fd3c6704,"First Aid, 1891-1956","US$10,500",Russell Sambrook,https://d7hftxdivxxvm.cloudfront.net/?height=511&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FO0u9aGd5JdSYrHlrekCA0Q%2Flarger.jpg&width=445,The Illustrated Gallery,https://www.artsy.net/artwork/russell-sambrook-first-aid,2023-09-07 19:31:54,False
33ca6463a6814bad57973a9ca8cda49e,"Tern, Solitary Reflection Study, 2018","US$1,800",Gina Sawin,https://d7hftxdivxxvm.cloudfront.net/?height=454&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FZ_a9qETQWohEEYhV0gUG5w%2Flarger.jpg&width=445,Artemis Gallery,https://www.artsy.net/artwork/gina-sawin-tern-solitary-reflection-study,2023-09-07 19:31:54,False
619afabedad7dd08c70521a0fa791881,"BanBan thinking about a painting , 2021","US$28,000",Cristina de Miguel,https://d7hftxdivxxvm.cloudfront.net/?height=635&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F66LDuEU7zHzVr7rRNXsuSg%2Flarger.jpg&width=445,Canvas Tube,https://www.artsy.net/artwork/cristina-de-miguel-banban-thinking-about-a-painting,2023-09-07 19:31:54,False
1509a87983ad5fbd655e8a3ed34074a0,"In the Sun, 2023","US$4,400",Wei Xing,https://d7hftxdivxxvm.cloudfront.net/?height=370&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FvmWZcX337UH8jtrTfWc1lw%2Flarger.jpg&width=445,SUOMEI M50 Art Gallery,https://www.artsy.net/artwork/wei-xing-in-the-sun,2023-09-07 19:31:54,False
7b2ef51b48e8ed990dbb7dfbdabea154,"Fontes , 2023",US$500,Lucas Ksenhuk,https://d7hftxdivxxvm.cloudfront.net/?height=440&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FuJOhRFMMgI1GWspzJqWwjA%2Flarger.jpg&width=445,THE HOUSE OF ARTS,https://www.artsy.net/artwork/lucas-ksenhuk-fontes,2023-09-07 19:31:54,False
